,open,high,low,close
2016-02-19 00:00:00+00:00,96.0,96.76,95.81,96.04
2016-02-22 00:00:00+00:00,96.28,96.9,95.92,96.89
2016-02-23 00:00:00+00:00,96.4,96.5,94.55,94.69
2016-02-24 00:00:00+00:00,93.99,96.38,93.32,96.1
2016-02-25 00:00:00+00:00,96.05,96.76,95.25,96.75
2016-02-26 00:00:00+00:00,97.2,98.03,96.44,96.9
2016-02-29 00:00:00+00:00,96.85,98.23,96.65,96.65
2016-03-01 00:00:00+00:00,97.69,100.77,97.42,100.53
2016-03-02 00:00:00+00:00,100.51,100.9,99.64,100.73
2016-03-03 00:00:00+00:00,100.57,101.71,100.45,101.5
2016-03-04 00:00:00+00:00,102.37,103.75,101.37,103.02
2016-03-07 00:00:00+00:00,102.38,102.83,100.96,101.87
2016-03-08 00:00:00+00:00,100.88,101.76,100.4,101.04
2016-03-09 00:00:00+00:00,101.34,101.58,100.27,101.1
2016-03-10 00:00:00+00:00,101.41,102.24,100.15,101.16
2016-03-11 00:00:00+00:00,102.23,102.27,101.5,102.25
2016-03-14 00:00:00+00:00,101.92,102.91,101.78,102.52
2016-03-15 00:00:00+00:00,103.99,105.18,103.85,104.58
2016-03-16 00:00:00+00:00,104.49,106.31,104.49,105.97
2016-03-17 00:00:00+00:00,105.52,106.47,104.95,105.8
2016-03-18 00:00:00+00:00,106.36,106.5,105.19,105.91
2016-03-21 00:00:00+00:00,105.84,110.55,105.14,105.91
2016-03-22 00:00:00+00:00,105.25,107.29,105.2,106.72
2016-03-23 00:00:00+00:00,106.48,107.07,105.9,106.14
2016-03-24 00:00:00+00:00,105.44,106.25,104.89,105.66
2016-03-28 00:00:00+00:00,106.0,106.19,105.06,105.19
2016-03-29 00:00:00+00:00,104.89,107.79,104.88,107.68
2016-03-30 00:00:00+00:00,108.64,110.42,105.94,109.59
2016-03-31 00:00:00+00:00,109.7,109.9,108.88,108.97
2016-04-01 00:00:00+00:00,108.74,110.0,100.93,109.97
2016-04-04 00:00:00+00:00,110.44,112.19,106.0,111.12
2016-04-05 00:00:00+00:00,109.65,110.73,109.1,109.8
2016-04-06 00:00:00+00:00,110.22,110.98,109.2,110.95
2016-04-07 00:00:00+00:00,109.94,110.42,108.12,108.54
2016-04-08 00:00:00+00:00,108.94,109.77,108.17,108.66
2016-04-11 00:00:00+00:00,108.95,110.62,108.83,109.02
2016-04-12 00:00:00+00:00,109.37,110.5,108.66,110.44
2016-04-13 00:00:00+00:00,110.76,112.34,110.76,112.04
2016-04-14 00:00:00+00:00,111.67,112.39,110.0,112.1
2016-04-15 00:00:00+00:00,112.02,112.3,109.73,109.85
2016-04-18 00:00:00+00:00,108.9,108.95,106.94,107.4
2016-04-19 00:00:00+00:00,107.88,108.0,106.23,106.95
2016-04-20 00:00:00+00:00,106.64,108.09,106.06,107.13
2016-04-21 00:00:00+00:00,106.93,106.98,105.52,105.96
2016-04-22 00:00:00+00:00,105.02,106.48,104.62,105.68
2016-04-25 00:00:00+00:00,104.91,105.65,104.51,105.08
2016-04-26 00:00:00+00:00,103.87,105.3,103.87,104.3
2016-04-27 00:00:00+00:00,95.97,98.7,95.68,97.8
2016-04-28 00:00:00+00:00,97.61,97.88,94.25,94.84
2016-04-29 00:00:00+00:00,94.0,106.93,92.51,93.75
2016-05-02 00:00:00+00:00,93.96,97.97,92.4,93.64
2016-05-03 00:00:00+00:00,94.2,95.74,93.68,95.18
2016-05-04 00:00:00+00:00,95.19,95.9,93.82,94.19
2016-05-05 00:00:00+00:00,94.0,94.12,92.68,93.23
2016-05-06 00:00:00+00:00,93.36,93.45,91.85,92.72
2016-05-09 00:00:00+00:00,93.0,93.77,92.59,92.79
2016-05-10 00:00:00+00:00,93.34,93.57,92.11,93.4
2016-05-11 00:00:00+00:00,93.46,93.57,92.46,92.51
2016-05-12 00:00:00+00:00,92.77,94.69,89.47,90.34
2016-05-13 00:00:00+00:00,90.01,91.67,90.0,90.52
2016-05-16 00:00:00+00:00,92.45,94.39,91.65,93.87
2016-05-17 00:00:00+00:00,94.62,94.7,93.0,93.48
2016-05-18 00:00:00+00:00,94.16,95.21,93.69,94.57
2016-05-19 00:00:00+00:00,94.63,94.64,93.57,94.2
2016-05-20 00:00:00+00:00,94.58,95.43,94.5,95.22
2016-05-23 00:00:00+00:00,95.87,97.19,95.67,96.42
2016-05-24 00:00:00+00:00,97.24,98.09,96.84,97.9
2016-05-25 00:00:00+00:00,98.67,99.74,98.11,99.6
2016-05-26 00:00:00+00:00,99.68,100.73,94.01,100.42
2016-05-27 00:00:00+00:00,99.39,100.47,99.25,100.34
2016-05-31 00:00:00+00:00,99.61,100.4,98.82,99.86
2016-06-01 00:00:00+00:00,99.02,99.54,98.3,98.45
2016-06-02 00:00:00+00:00,97.57,97.85,92.72,97.7
2016-06-03 00:00:00+00:00,97.78,98.27,97.45,97.91
2016-06-06 00:00:00+00:00,97.96,101.89,97.55,98.63
2016-06-07 00:00:00+00:00,99.25,99.87,98.96,99.04
2016-06-08 00:00:00+00:00,99.03,99.56,98.63,98.94
2016-06-09 00:00:00+00:00,98.5,99.99,98.46,99.66
2016-06-10 00:00:00+00:00,98.53,99.35,98.48,98.84
2016-06-13 00:00:00+00:00,98.6,99.12,97.09,97.34
2016-06-14 00:00:00+00:00,97.34,98.48,96.75,97.46
2016-06-15 00:00:00+00:00,97.82,98.94,97.03,97.14
2016-06-16 00:00:00+00:00,96.44,97.75,96.0,97.57
2016-06-17 00:00:00+00:00,96.62,96.65,95.3,95.32
2016-06-20 00:00:00+00:00,96.02,97.74,95.03,95.1
2016-06-21 00:00:00+00:00,94.94,99.54,94.67,95.91
2016-06-22 00:00:00+00:00,96.25,97.27,95.35,95.56
2016-06-23 00:00:00+00:00,95.97,97.55,95.25,96.09
2016-06-24 00:00:00+00:00,92.91,94.66,92.65,93.37
2016-06-27 00:00:00+00:00,93.08,93.08,91.5,92.04
2016-06-28 00:00:00+00:00,92.89,93.66,92.14,93.59
2016-06-29 00:00:00+00:00,93.97,94.55,93.63,94.4
2016-06-30 00:00:00+00:00,94.45,95.77,94.3,95.61
2016-07-01 00:00:00+00:00,95.48,96.7,95.32,95.9
2016-07-05 00:00:00+00:00,95.39,95.4,93.29,95.02
2016-07-06 00:00:00+00:00,94.6,95.66,94.37,95.53
2016-07-07 00:00:00+00:00,95.74,96.5,95.62,95.94
2016-07-08 00:00:00+00:00,96.5,96.89,94.4,96.68
2016-07-11 00:00:00+00:00,96.76,97.65,96.73,96.98
2016-07-12 00:00:00+00:00,97.18,97.7,95.16,97.42
2016-07-13 00:00:00+00:00,97.41,97.67,96.84,96.87
2016-07-14 00:00:00+00:00,97.37,98.99,96.15,98.79
2016-07-15 00:00:00+00:00,99.01,99.3,98.5,98.76
2016-07-18 00:00:00+00:00,98.7,100.13,98.6,99.83
